trip_id,arrival_time,departure_time,stop_id,stop_sequence
Shuttle6_0_1,6:00:00,6:00:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_1,6:00:00,6:00:00,Ekinan0,1
Shuttle6_0_1,6:01:00,6:01:00,ZuiryujiGuchi0,2
Shuttle6_0_1,6:02:00,6:02:00,Kyoden0,3
Shuttle6_0_1,6:04:00,6:04:00,AeonMallGuchi0,4
Shuttle6_0_1,6:08:00,6:08:00,ShinTakaokaEki3,5
Shuttle6_0_2,6:26:00,6:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_2,6:26:00,6:26:00,Ekinan0,1
Shuttle6_0_2,6:27:00,6:27:00,ZuiryujiGuchi0,2
Shuttle6_0_2,6:28:00,6:28:00,Kyoden0,3
Shuttle6_0_2,6:28:00,6:28:00,AeonMallGuchi0,4
Shuttle6_0_2,6:34:00,6:34:00,ShinTakaokaEki3,5
Shuttle6_0_3,7:01:00,7:01:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_3,7:02:00,7:02:00,Ekinan0,1
Shuttle6_0_3,7:02:00,7:02:00,ZuiryujiGuchi0,2
Shuttle6_0_3,7:04:00,7:04:00,Kyoden0,3
Shuttle6_0_3,7:06:00,7:06:00,AeonMallGuchi0,4
Shuttle6_0_3,7:09:00,7:09:00,ShinTakaokaEki3,5
Shuttle6_0_4,7:06:00,7:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_4,7:07:00,7:07:00,Ekinan0,1
Shuttle6_0_4,7:07:00,7:07:00,ZuiryujiGuchi0,2
Shuttle6_0_4,7:10:00,7:10:00,Kyoden0,3
Shuttle6_0_4,7:10:00,7:10:00,AeonMallGuchi0,4
Shuttle6_0_4,7:14:00,7:14:00,ShinTakaokaEki3,5
Shuttle6_0_5,7:16:00,7:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_5,7:17:00,7:17:00,Ekinan0,1
Shuttle6_0_5,7:17:00,7:17:00,ZuiryujiGuchi0,2
Shuttle6_0_5,7:20:00,7:20:00,Kyoden0,3
Shuttle6_0_5,7:20:00,7:20:00,AeonMallGuchi0,4
Shuttle6_0_5,7:24:00,7:24:00,ShinTakaokaEki3,5
Shuttle6_0_6,7:26:00,7:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_6,7:27:00,7:27:00,Ekinan0,1
Shuttle6_0_6,7:27:00,7:27:00,ZuiryujiGuchi0,2
Shuttle6_0_6,7:29:00,7:29:00,Kyoden0,3
Shuttle6_0_6,7:31:00,7:31:00,AeonMallGuchi0,4
Shuttle6_0_6,7:34:00,7:34:00,ShinTakaokaEki3,5
Shuttle6_0_7,7:36:00,7:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_7,7:37:00,7:37:00,Ekinan0,1
Shuttle6_0_7,7:37:00,7:37:00,ZuiryujiGuchi0,2
Shuttle6_0_7,7:40:00,7:40:00,Kyoden0,3
Shuttle6_0_7,7:40:00,7:40:00,AeonMallGuchi0,4
Shuttle6_0_7,7:44:00,7:44:00,ShinTakaokaEki3,5
Shuttle6_0_8,7:46:00,7:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_8,7:47:00,7:47:00,Ekinan0,1
Shuttle6_0_8,7:47:00,7:47:00,ZuiryujiGuchi0,2
Shuttle6_0_8,7:50:00,7:50:00,Kyoden0,3
Shuttle6_0_8,7:50:00,7:50:00,AeonMallGuchi0,4
Shuttle6_0_8,7:54:00,7:54:00,ShinTakaokaEki3,5
Shuttle6_0_9,7:50:00,7:50:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_9,7:51:00,7:51:00,Ekinan0,1
Shuttle6_0_9,7:51:00,7:51:00,ZuiryujiGuchi0,2
Shuttle6_0_9,7:54:00,7:54:00,Kyoden0,3
Shuttle6_0_9,7:54:00,7:54:00,AeonMallGuchi0,4
Shuttle6_0_9,7:58:00,7:58:00,ShinTakaokaEki3,5
Shuttle6_0_10,7:56:00,7:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_10,7:57:00,7:57:00,Ekinan0,1
Shuttle6_0_10,7:57:00,7:57:00,ZuiryujiGuchi0,2
Shuttle6_0_10,7:59:00,7:59:00,Kyoden0,3
Shuttle6_0_10,8:01:00,8:01:00,AeonMallGuchi0,4
Shuttle6_0_10,8:04:00,8:04:00,ShinTakaokaEki3,5
Shuttle6_0_11,8:06:00,8:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_11,8:07:00,8:07:00,Ekinan0,1
Shuttle6_0_11,8:07:00,8:07:00,ZuiryujiGuchi0,2
Shuttle6_0_11,8:10:00,8:10:00,Kyoden0,3
Shuttle6_0_11,8:10:00,8:10:00,AeonMallGuchi0,4
Shuttle6_0_11,8:14:00,8:14:00,ShinTakaokaEki3,5
Shuttle6_0_12,8:16:00,8:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_12,8:17:00,8:17:00,Ekinan0,1
Shuttle6_0_12,8:17:00,8:17:00,ZuiryujiGuchi0,2
Shuttle6_0_12,8:19:00,8:19:00,Kyoden0,3
Shuttle6_0_12,8:21:00,8:21:00,AeonMallGuchi0,4
Shuttle6_0_12,8:24:00,8:24:00,ShinTakaokaEki3,5
Shuttle6_0_13,8:26:00,8:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_13,8:27:00,8:27:00,Ekinan0,1
Shuttle6_0_13,8:27:00,8:27:00,ZuiryujiGuchi0,2
Shuttle6_0_13,8:30:00,8:30:00,Kyoden0,3
Shuttle6_0_13,8:30:00,8:30:00,AeonMallGuchi0,4
Shuttle6_0_13,8:34:00,8:34:00,ShinTakaokaEki3,5
Shuttle6_0_14,8:36:00,8:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_14,8:36:00,8:36:00,Ekinan0,1
Shuttle6_0_14,8:37:00,8:37:00,ZuiryujiGuchi0,2
Shuttle6_0_14,8:38:00,8:38:00,Kyoden0,3
Shuttle6_0_14,8:38:00,8:38:00,AeonMallGuchi0,4
Shuttle6_0_14,8:44:00,8:44:00,ShinTakaokaEki3,5
Shuttle6_0_15,8:46:00,8:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_15,8:47:00,8:47:00,Ekinan0,1
Shuttle6_0_15,8:47:00,8:47:00,ZuiryujiGuchi0,2
Shuttle6_0_15,8:49:00,8:49:00,Kyoden0,3
Shuttle6_0_15,8:51:00,8:51:00,AeonMallGuchi0,4
Shuttle6_0_15,8:54:00,8:54:00,ShinTakaokaEki3,5
Shuttle6_0_16,8:56:00,8:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_16,8:57:00,8:57:00,Ekinan0,1
Shuttle6_0_16,8:57:00,8:57:00,ZuiryujiGuchi0,2
Shuttle6_0_16,9:00:00,9:00:00,Kyoden0,3
Shuttle6_0_16,9:00:00,9:00:00,AeonMallGuchi0,4
Shuttle6_0_16,9:04:00,9:04:00,ShinTakaokaEki3,5
Shuttle6_0_17,9:06:00,9:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_17,9:07:00,9:07:00,Ekinan0,1
Shuttle6_0_17,9:07:00,9:07:00,ZuiryujiGuchi0,2
Shuttle6_0_17,9:10:00,9:10:00,Kyoden0,3
Shuttle6_0_17,9:10:00,9:10:00,AeonMallGuchi0,4
Shuttle6_0_17,9:14:00,9:14:00,ShinTakaokaEki3,5
Shuttle6_0_18,9:16:00,9:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_18,9:17:00,9:17:00,Ekinan0,1
Shuttle6_0_18,9:17:00,9:17:00,ZuiryujiGuchi0,2
Shuttle6_0_18,9:20:00,9:20:00,Kyoden0,3
Shuttle6_0_18,9:20:00,9:20:00,AeonMallGuchi0,4
Shuttle6_0_18,9:24:00,9:24:00,ShinTakaokaEki3,5
Shuttle6_0_19,9:26:00,9:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_19,9:27:00,9:27:00,Ekinan0,1
Shuttle6_0_19,9:27:00,9:27:00,ZuiryujiGuchi0,2
Shuttle6_0_19,9:29:00,9:29:00,Kyoden0,3
Shuttle6_0_19,9:31:00,9:31:00,AeonMallGuchi0,4
Shuttle6_0_19,9:34:00,9:34:00,ShinTakaokaEki3,5
Shuttle6_0_20,9:36:00,9:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_20,9:37:00,9:37:00,Ekinan0,1
Shuttle6_0_20,9:37:00,9:37:00,ZuiryujiGuchi0,2
Shuttle6_0_20,9:40:00,9:40:00,Kyoden0,3
Shuttle6_0_20,9:40:00,9:40:00,AeonMallGuchi0,4
Shuttle6_0_20,9:44:00,9:44:00,ShinTakaokaEki3,5
Shuttle6_0_21,9:46:00,9:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_21,9:47:00,9:47:00,Ekinan0,1
Shuttle6_0_21,9:47:00,9:47:00,ZuiryujiGuchi0,2
Shuttle6_0_21,9:50:00,9:50:00,Kyoden0,3
Shuttle6_0_21,9:50:00,9:50:00,AeonMallGuchi0,4
Shuttle6_0_21,9:54:00,9:54:00,ShinTakaokaEki3,5
Shuttle6_0_22,9:54:00,9:54:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_22,9:55:00,9:55:00,Ekinan0,1
Shuttle6_0_22,9:55:00,9:55:00,ZuiryujiGuchi0,2
Shuttle6_0_22,9:57:00,9:57:00,Kyoden0,3
Shuttle6_0_22,9:59:00,9:59:00,AeonMallGuchi0,4
Shuttle6_0_22,10:02:00,10:02:00,ShinTakaokaEki3,5
Shuttle6_0_23,9:56:00,9:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_23,9:57:00,9:57:00,Ekinan0,1
Shuttle6_0_23,9:57:00,9:57:00,ZuiryujiGuchi0,2
Shuttle6_0_23,10:00:00,10:00:00,Kyoden0,3
Shuttle6_0_23,10:00:00,10:00:00,AeonMallGuchi0,4
Shuttle6_0_23,10:04:00,10:04:00,ShinTakaokaEki3,5
Shuttle6_0_24,10:06:00,10:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_24,10:07:00,10:07:00,Ekinan0,1
Shuttle6_0_24,10:07:00,10:07:00,ZuiryujiGuchi0,2
Shuttle6_0_24,10:09:00,10:09:00,Kyoden0,3
Shuttle6_0_24,10:10:00,10:10:00,AeonMallGuchi0,4
Shuttle6_0_24,10:14:00,10:14:00,ShinTakaokaEki3,5
Shuttle6_0_25,10:16:00,10:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_25,10:17:00,10:17:00,Ekinan0,1
Shuttle6_0_25,10:17:00,10:17:00,ZuiryujiGuchi0,2
Shuttle6_0_25,10:20:00,10:20:00,Kyoden0,3
Shuttle6_0_25,10:20:00,10:20:00,AeonMallGuchi0,4
Shuttle6_0_25,10:24:00,10:24:00,ShinTakaokaEki3,5
Shuttle6_0_26,10:26:00,10:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_26,10:27:00,10:27:00,Ekinan0,1
Shuttle6_0_26,10:27:00,10:27:00,ZuiryujiGuchi0,2
Shuttle6_0_26,10:30:00,10:30:00,Kyoden0,3
Shuttle6_0_26,10:30:00,10:30:00,AeonMallGuchi0,4
Shuttle6_0_26,10:34:00,10:34:00,ShinTakaokaEki3,5
Shuttle6_0_27,10:36:00,10:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_27,10:36:00,10:36:00,Ekinan0,1
